family_external_id,local_path,alt_text,title,image_type,width,height,file_size,local_filename
31175,images/bim_families/image_1_bimlibe6460636d824efb2d906acc14324e272.jpg,,,slider_selenium,306,200,19947,image_1_bimlibe6460636d824efb2d906acc14324e272.jpg
31175,images/bim_families/image_2_bimlib15701c8287fe6b4374e3db90f1a1a2ec.jpg,,,slider_selenium,306,200,14358,image_2_bimlib15701c8287fe6b4374e3db90f1a1a2ec.jpg
31175,images/bim_families/image_3_bimlib91061efa1a11f9793a3fd5798433eb64.jpg,,,slider_selenium,306,200,13377,image_3_bimlib91061efa1a11f9793a3fd5798433eb64.jpg
31175,images/bim_families/image_4_bimlib8943c52ce02341f51d43ba4c9a6cf12c.jpg,,,slider_selenium,306,200,16467,image_4_bimlib8943c52ce02341f51d43ba4c9a6cf12c.jpg
31175,images/bim_families/image_5_bimlibe6460636d824efb2d906acc14324e272.jpg,"Система утепления цоколя с декоративной штукатуркой на экструдированном пенополистироле THERMOMAX 100W, 100W, D1W, 302, ProfFasad",,general_selenium,207,207,10416,image_5_bimlibe6460636d824efb2d906acc14324e272.jpg
31175,images/bim_families/image_6_5b4c5969-ec08-4e0e-829b-cf61bc452ab4.svg,Thermomax,,general_selenium,159,159,15544,image_6_5b4c5969-ec08-4e0e-829b-cf61bc452ab4.svg
21856,images/bim_families/image_1_bimlibe73d2122f7dd5da91afa3284eafdcff6.jpg,,,slider_selenium,306,200,30269,image_1_bimlibe73d2122f7dd5da91afa3284eafdcff6.jpg
21856,images/bim_families/image_2_bimlib2ec3b8be9b5c48361cc6cb3cd772490e.jpg,,,slider_selenium,306,200,18996,image_2_bimlib2ec3b8be9b5c48361cc6cb3cd772490e.jpg
21856,images/bim_families/image_3_bimlibe73d2122f7dd5da91afa3284eafdcff6.jpg,"Многослойная система утепления из пенополистирола LOBATHERM Р с декоративно-защитной штукатуркой, основание-полнотелый кирпич М300, отделка-базовый слой KAS, грунтовка QG, декоративная штукатурка KHR2",,general_selenium,207,207,14350,image_3_bimlibe73d2122f7dd5da91afa3284eafdcff6.jpg
21856,images/bim_families/image_4_73e7bd60-2bd5-4474-a541-e232efc09712.jpg,АО «Зиверт Рус»,,general_selenium,159,159,50739,image_4_73e7bd60-2bd5-4474-a541-e232efc09712.jpg
14807,images/bim_families/image_1_bimlib3a24843a31b83196467c9ffbe7ad1379.jpg,,,slider_selenium,306,200,19142,image_1_bimlib3a24843a31b83196467c9ffbe7ad1379.jpg
14807,images/bim_families/image_2_bimlib769580bb956a3a2e1c1d7bbfd4aab7bb.jpg,,,slider_selenium,306,200,22985,image_2_bimlib769580bb956a3a2e1c1d7bbfd4aab7bb.jpg
14807,images/bim_families/image_3_bimlib3a24843a31b83196467c9ffbe7ad1379.jpg,Ворота противопожарные подъемно-секционные ВППС-ОГНЕДЕКОР-60К с калиткой,,general_selenium,207,207,9321,image_3_bimlib3a24843a31b83196467c9ffbe7ad1379.jpg
14807,images/bim_families/image_4_c50f0a85-d05d-4fc8-8725-c06a92f71bc3.jpg,ДВР центр,,general_selenium,159,159,5810,image_4_c50f0a85-d05d-4fc8-8725-c06a92f71bc3.jpg
35726,images/bim_families/image_1_3D%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%2001060400.png,,,slider_selenium,306,200,2447292,image_1_3D%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%2001060400.png
35726,images/bim_families/image_4_3D%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%2001060400.png,Доутепление скатных крыш изнутри,,general_selenium,207,207,2447292,image_4_3D%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%2001060400.png
35726,images/bim_families/image_5_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_5_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52041,images/bim_families/image_1_%D0%BF11%20%D1%81%D1%82%D0%B5%D0%BD%D1%8B.png,,,slider_selenium,306,200,233123,image_1_%D0%BF11%20%D1%81%D1%82%D0%B5%D0%BD%D1%8B.png
52041,images/bim_families/image_2_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%201.png,,,slider_selenium,306,200,206099,image_2_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%201.png
52041,images/bim_families/image_3_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%202.png,,,slider_selenium,306,200,155509,image_3_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%202.png
52041,images/bim_families/image_4_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%203.png,,,slider_selenium,306,200,262890,image_4_%D0%BF11%D1%81%D1%82%D0%B5%D0%BD%D1%8B%203.png
52041,images/bim_families/image_5_%D0%BF11%20%D1%81%D1%82%D0%B5%D0%BD%D1%8B.png,Загружаемые семейства примыкания кровли к стенам,,general_selenium,207,207,233123,image_5_%D0%BF11%20%D1%81%D1%82%D0%B5%D0%BD%D1%8B.png
52041,images/bim_families/image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_6_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52055,images/bim_families/image_1_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B5.png,,,slider_selenium,306,200,88649,image_1_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B5.png
52055,images/bim_families/image_2_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B51.png,,,slider_selenium,306,200,90927,image_2_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B51.png
52055,images/bim_families/image_3_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B52.png,,,slider_selenium,306,200,95971,image_3_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B52.png
52055,images/bim_families/image_4_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B5.png,Загружаемые семейства примыканий кровли к трубам,,general_selenium,207,207,88649,image_4_%D0%BF12%20%D0%BA%20%D1%82%D1%80%D1%83%D0%B1%D0%B5.png
52055,images/bim_families/image_5_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_5_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
52056,images/bim_families/image_1_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%20.png,,,slider_selenium,306,200,119415,image_1_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%20.png
52056,images/bim_families/image_2_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%201.png,,,slider_selenium,306,200,183143,image_2_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%201.png
52056,images/bim_families/image_3_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%20.png,Загружаемые семейства узлов примыканий кровли к воронкам,,general_selenium,207,207,119415,image_3_%D0%BF17%20%D0%BA%20%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%BA%D0%B0%D0%BC%20.png
52056,images/bim_families/image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg,ПЕНОПЛЭКС,,general_selenium,159,159,29044,image_4_2b45642a-6e58-4d2e-9bb6-dcf79e65715c.svg
